行业A,行业B,分组A,分组B,同期同比相关系数,相关绝对值,是否跨分组
11.印刷和记录媒介复制业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.996812457104584,0.996812457104584,True
21.金属制品业,22.通用设备制造业,装备制造,装备制造,0.994984279440869,0.994984279440869,False
6.纺织服装、服饰业,7.皮革、毛皮、羽毛及其制品和制鞋业,消费与轻工制造,消费与轻工制造,0.9945017499366314,0.9945017499366314,False
17.橡胶和塑料制品业,21.金属制品业,传统高耗能与材料行业,装备制造,0.9929723939125074,0.9929723939125074,True
12.文教、工美、体育和娱乐用品制造业,21.金属制品业,消费与轻工制造,装备制造,0.9929030346051344,0.9929030346051344,True
11.印刷和记录媒介复制业,21.金属制品业,消费与轻工制造,装备制造,0.9928350705408457,0.9928350705408457,True
11.印刷和记录媒介复制业,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,消费与轻工制造,0.9925800820731373,0.9925800820731373,False
7.皮革、毛皮、羽毛及其制品和制鞋业,21.金属制品业,消费与轻工制造,装备制造,0.992543199233563,0.992543199233563,True
12.文教、工美、体育和娱乐用品制造业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.9921877171643687,0.9921877171643687,True
12.文教、工美、体育和娱乐用品制造业,22.通用设备制造业,消费与轻工制造,装备制造,0.9918254468740111,0.9918254468740111,True
9.家具制造业,21.金属制品业,消费与轻工制造,装备制造,0.9913122398618877,0.9913122398618877,True
6.纺织服装、服饰业,9.家具制造业,消费与轻工制造,消费与轻工制造,0.9909826280136291,0.9909826280136291,False
9.家具制造业,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,消费与轻工制造,0.9906925941356147,0.9906925941356147,False
7.皮革、毛皮、羽毛及其制品和制鞋业,9.家具制造业,消费与轻工制造,消费与轻工制造,0.9905449087234804,0.9905449087234804,False
17.橡胶和塑料制品业,22.通用设备制造业,传统高耗能与材料行业,装备制造,0.9899959497702229,0.9899959497702229,True
7.皮革、毛皮、羽毛及其制品和制鞋业,22.通用设备制造业,消费与轻工制造,装备制造,0.9898591766541353,0.9898591766541353,True
6.纺织服装、服饰业,21.金属制品业,消费与轻工制造,装备制造,0.9897613022209334,0.9897613022209334,True
11.印刷和记录媒介复制业,22.通用设备制造业,消费与轻工制造,装备制造,0.989534172293917,0.989534172293917,True
5.纺织业,6.纺织服装、服饰业,消费与轻工制造,消费与轻工制造,0.9895111818653367,0.9895111818653367,False
7.皮革、毛皮、羽毛及其制品和制鞋业,11.印刷和记录媒介复制业,消费与轻工制造,消费与轻工制造,0.9888314643245099,0.9888314643245099,False
9.家具制造业,11.印刷和记录媒介复制业,消费与轻工制造,消费与轻工制造,0.9884088386602644,0.9884088386602644,False
9.家具制造业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.9874184247831957,0.9874184247831957,True
6.纺织服装、服饰业,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,消费与轻工制造,0.986971265932506,0.986971265932506,False
8.木材加工和木、竹、藤、棕、草制品业,21.金属制品业,消费与轻工制造,装备制造,0.9868583811183078,0.9868583811183078,True
7.皮革、毛皮、羽毛及其制品和制鞋业,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,消费与轻工制造,0.98569043119093,0.98569043119093,False
8.木材加工和木、竹、藤、棕、草制品业,22.通用设备制造业,消费与轻工制造,装备制造,0.9855205498670224,0.9855205498670224,True
6.纺织服装、服饰业,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,消费与轻工制造,0.9853675143189057,0.9853675143189057,False
7.皮革、毛皮、羽毛及其制品和制鞋业,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,消费与轻工制造,0.9839693487918603,0.9839693487918603,False
7.皮革、毛皮、羽毛及其制品和制鞋业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.9838540465598425,0.9838540465598425,True
9.家具制造业,22.通用设备制造业,消费与轻工制造,装备制造,0.9835325433721448,0.9835325433721448,True
6.纺织服装、服饰业,22.通用设备制造业,消费与轻工制造,装备制造,0.9833181326154008,0.9833181326154008,True
17.橡胶和塑料制品业,18.非金属矿物制品业,传统高耗能与材料行业,传统高耗能与材料行业,0.9831622711028888,0.9831622711028888,False
5.纺织业,9.家具制造业,消费与轻工制造,消费与轻工制造,0.9825136988569664,0.9825136988569664,False
8.木材加工和木、竹、藤、棕、草制品业,9.家具制造业,消费与轻工制造,消费与轻工制造,0.9822156141759413,0.9822156141759413,False
6.纺织服装、服饰业,11.印刷和记录媒介复制业,消费与轻工制造,消费与轻工制造,0.9817089921495983,0.9817089921495983,False
18.非金属矿物制品业,22.通用设备制造业,传统高耗能与材料行业,装备制造,0.9815586832214519,0.9815586832214519,True
5.纺织业,8.木材加工和木、竹、藤、棕、草制品业,消费与轻工制造,消费与轻工制造,0.9815083348815191,0.9815083348815191,False
8.木材加工和木、竹、藤、棕、草制品业,12.文教、工美、体育和娱乐用品制造业,消费与轻工制造,消费与轻工制造,0.9797556230202787,0.9797556230202787,False
23.专用设备制造业,26.电气机械和器材制造业,装备制造,装备制造,0.9773888968219039,0.9773888968219039,False
6.纺织服装、服饰业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.9772944934237686,0.9772944934237686,True
8.木材加工和木、竹、藤、棕、草制品业,17.橡胶和塑料制品业,消费与轻工制造,传统高耗能与材料行业,0.9761446725236332,0.9761446725236332,True
18.非金属矿物制品业,21.金属制品业,传统高耗能与材料行业,装备制造,0.9761148657649821,0.9761148657649821,True
11.印刷和记录媒介复制业,18.非金属矿物制品业,消费与轻工制造,传统高耗能与材料行业,0.9758434100490991,0.9758434100490991,True
